lab_categoria,variable,pregunta,Codigo,sub_cat,Desglose,Porcentaje,seccion
No quiero responder,salud_m_d,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Poca energía para desarrollar actividades físicas",96,Sexo,Mujer,0.5201634,Salud mental ante el distanciamiento social
No sé,salud_m_d,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Poca energía para desarrollar actividades físicas",99,Sexo,Mujer,1.71108201,Salud mental ante el distanciamiento social
Sí,salud_m_d,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Poca energía para desarrollar actividades físicas",1,Sexo,Hombre,42.36562601,Salud mental ante el distanciamiento social
No,salud_m_d,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Poca energía para desarrollar actividades físicas",2,Sexo,Hombre,55.38190913,Salud mental ante el distanciamiento social
No quiero responder,salud_m_d,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Poca energía para desarrollar actividades físicas",96,Sexo,Hombre,0.64542278,Salud mental ante el distanciamiento social
No sé,salud_m_d,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Poca energía para desarrollar actividades físicas",99,Sexo,Hombre,1.60704208,Salud mental ante el distanciamiento social
Sí,salud_m_e,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Dificultad para dormir",1,Sexo,Mujer,53.06514649,Salud mental ante el distanciamiento social
No,salud_m_e,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Dificultad para dormir",2,Sexo,Mujer,45.16228251,Salud mental ante el distanciamiento social
No quiero responder,salud_m_e,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Dificultad para dormir",96,Sexo,Mujer,0.46408212,Salud mental ante el distanciamiento social
No sé,salud_m_e,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Dificultad para dormir",99,Sexo,Mujer,1.30848888,Salud mental ante el distanciamiento social
Sí,salud_m_e,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Dificultad para dormir",1,Sexo,Hombre,42.59122511,Salud mental ante el distanciamiento social
No,salud_m_e,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Dificultad para dormir",2,Sexo,Hombre,55.57355476,Salud mental ante el distanciamiento social
No quiero responder,salud_m_e,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Dificultad para dormir",96,Sexo,Hombre,0.52039488,Salud mental ante el distanciamiento social
No sé,salud_m_e,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Dificultad para dormir",99,Sexo,Hombre,1.31482526,Salud mental ante el distanciamiento social
Sí,salud_m_f,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Alteraciones en su salud (dolor de cabeza, dolores estomacales, do",1,Sexo,Mujer,51.39357878,Salud mental ante el distanciamiento social
No,salud_m_f,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Alteraciones en su salud (dolor de cabeza, dolores estomacales, do",2,Sexo,Mujer,46.43959488,Salud mental ante el distanciamiento social
No quiero responder,salud_m_f,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Alteraciones en su salud (dolor de cabeza, dolores estomacales, do",96,Sexo,Mujer,0.63138812,Salud mental ante el distanciamiento social
No sé,salud_m_f,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Alteraciones en su salud (dolor de cabeza, dolores estomacales, do",99,Sexo,Mujer,1.53543822,Salud mental ante el distanciamiento social
Sí,salud_m_f,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Alteraciones en su salud (dolor de cabeza, dolores estomacales, do",1,Sexo,Hombre,35.75436099,Salud mental ante el distanciamiento social
No,salud_m_f,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Alteraciones en su salud (dolor de cabeza, dolores estomacales, do",2,Sexo,Hombre,62.08675145,Salud mental ante el distanciamiento social
No quiero responder,salud_m_f,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Alteraciones en su salud (dolor de cabeza, dolores estomacales, do",96,Sexo,Hombre,0.6727354,Salud mental ante el distanciamiento social
No sé,salud_m_f,"El distanciamiento social, para proteger la salud de la comunidad, produce una serie de sensaciones en las personas ¿Cuál(es) considera usted que ha percibido/padecido en el último mes? Alteraciones en su salud (dolor de cabeza, dolores estomacales, do",99,Sexo,Hombre,1.48615216,Salud mental ante el distanciamiento social
Sí,infimss,"En los últimos 3 meses, ¿ha recibido, visto o escuchado algún tipo de información sobre el Covid-19, por parte del IMSS?",1,Sexo,Mujer,55.26497106,Difusión de información sobre Covid-19
No,infimss,"En los últimos 3 meses, ¿ha recibido, visto o escuchado algún tipo de información sobre el Covid-19, por parte del IMSS?",2,Sexo,Mujer,41.86404174,Difusión de información sobre Covid-19
No quiero responder,infimss,"En los últimos 3 meses, ¿ha recibido, visto o escuchado algún tipo de información sobre el Covid-19, por parte del IMSS?",96,Sexo,Mujer,0.2900809,Difusión de información sobre Covid-19
No sé,infimss,"En los últimos 3 meses, ¿ha recibido, visto o escuchado algún tipo de información sobre el Covid-19, por parte del IMSS?",99,Sexo,Mujer,2.5809063,Difusión de información sobre Covid-19
Sí,infimss,"En los últimos 3 meses, ¿ha recibido, visto o escuchado algún tipo de información sobre el Covid-19, por parte del IMSS?",1,Sexo,Hombre,56.81791072,Difusión de información sobre Covid-19
No,infimss,"En los últimos 3 meses, ¿ha recibido, visto o escuchado algún tipo de información sobre el Covid-19, por parte del IMSS?",2,Sexo,Hombre,40.00724758,Difusión de información sobre Covid-19
No quiero responder,infimss,"En los últimos 3 meses, ¿ha recibido, visto o escuchado algún tipo de información sobre el Covid-19, por parte del IMSS?",96,Sexo,Hombre,0.18813054,Difusión de información sobre Covid-19
No sé,infimss,"En los últimos 3 meses, ¿ha recibido, visto o escuchado algún tipo de información sobre el Covid-19, por parte del IMSS?",99,Sexo,Hombre,2.98671116,Difusión de información sobre Covid-19
Sí,atn1fam,"¿Considera usted que el personal del IMSS atiende primero a sus amigos, familiares o conocidos?",1,Sexo,Mujer,38.07383953,Preferencias en la atención
No,atn1fam,"¿Considera usted que el personal del IMSS atiende primero a sus amigos, familiares o conocidos?",2,Sexo,Mujer,33.80594032,Preferencias en la atención
No quiero responder,atn1fam,"¿Considera usted que el personal del IMSS atiende primero a sus amigos, familiares o conocidos?",96,Sexo,Mujer,1.26170502,Preferencias en la atención
No sé,atn1fam,"¿Considera usted que el personal del IMSS atiende primero a sus amigos, familiares o conocidos?",99,Sexo,Mujer,26.85851514,Preferencias en la atención
Sí,atn1fam,"¿Considera usted que el personal del IMSS atiende primero a sus amigos, familiares o conocidos?",1,Sexo,Hombre,34.41762498,Preferencias en la atención
No,atn1fam,"¿Considera usted que el personal del IMSS atiende primero a sus amigos, familiares o conocidos?",2,Sexo,Hombre,36.67113276,Preferencias en la atención
No quiero responder,atn1fam,"¿Considera usted que el personal del IMSS atiende primero a sus amigos, familiares o conocidos?",96,Sexo,Hombre,0.81208302,Preferencias en la atención
No sé,atn1fam,"¿Considera usted que el personal del IMSS atiende primero a sus amigos, familiares o conocidos?",99,Sexo,Hombre,28.09915923,Preferencias en la atención
Sí,quejas,"¿Conoce algún medio (red social, oficina, módulo, etc",1,Sexo,Mujer,31.09325777,Transparencia y posibles acciones de corrupción
No,quejas,"¿Conoce algún medio (red social, oficina, módulo, etc",2,Sexo,Mujer,66.27740795,Transparencia y posibles acciones de corrupción
No quiero responder,quejas,"¿Conoce algún medio (red social, oficina, módulo, etc",96,Sexo,Mujer,0.35553361,Transparencia y posibles acciones de corrupción
No sé,quejas,"¿Conoce algún medio (red social, oficina, módulo, etc",99,Sexo,Mujer,2.27380067,Transparencia y posibles acciones de corrupción
Sí,quejas,"¿Conoce algún medio (red social, oficina, módulo, etc",1,Sexo,Hombre,32.63402405,Transparencia y posibles acciones de corrupción
No,quejas,"¿Conoce algún medio (red social, oficina, módulo, etc",2,Sexo,Hombre,64.92643211,Transparencia y posibles acciones de corrupción
No quiero responder,quejas,"¿Conoce algún medio (red social, oficina, módulo, etc",96,Sexo,Hombre,0.32959313,Transparencia y posibles acciones de corrupción
No sé,quejas,"¿Conoce algún medio (red social, oficina, módulo, etc",99,Sexo,Hombre,2.10995071,Transparencia y posibles acciones de corrupción
Sí,sat3_mot_a,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal trato del personal",1,Sexo,Mujer,43.53888248,Satisfacción y trato
No,sat3_mot_a,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal trato del personal",2,Sexo,Mujer,48.52398659,Satisfacción y trato
No quiero responder,sat3_mot_a,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal trato del personal",96,Sexo,Mujer,5.72990615,Satisfacción y trato
No sé,sat3_mot_a,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal trato del personal",99,Sexo,Mujer,2.20722478,Satisfacción y trato
Sí,sat3_mot_a,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal trato del personal",1,Sexo,Hombre,40.75711345,Satisfacción y trato
No,sat3_mot_a,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal trato del personal",2,Sexo,Hombre,53.02319121,Satisfacción y trato
No quiero responder,sat3_mot_a,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal trato del personal",96,Sexo,Hombre,4.49898025,Satisfacción y trato
No sé,sat3_mot_a,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal trato del personal",99,Sexo,Hombre,1.72071509,Satisfacción y trato
Sí,sat3_mot_b,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de medicamentos",1,Sexo,Mujer,49.30773623,Satisfacción y trato
No,sat3_mot_b,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de medicamentos",2,Sexo,Mujer,46.35158119,Satisfacción y trato
No quiero responder,sat3_mot_b,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de medicamentos",96,Sexo,Mujer,1.89586095,Satisfacción y trato
No sé,sat3_mot_b,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de medicamentos",99,Sexo,Mujer,2.44482163,Satisfacción y trato
Sí,sat3_mot_b,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de medicamentos",1,Sexo,Hombre,59.60962188,Satisfacción y trato
No,sat3_mot_b,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de medicamentos",2,Sexo,Hombre,37.4339497,Satisfacción y trato
No quiero responder,sat3_mot_b,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de medicamentos",96,Sexo,Hombre,0.99716008,Satisfacción y trato
No sé,sat3_mot_b,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de medicamentos",99,Sexo,Hombre,1.95926834,Satisfacción y trato
Sí,sat3_mot_c,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Tiempo de espera largo",1,Sexo,Mujer,69.51690191,Satisfacción y trato
No,sat3_mot_c,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Tiempo de espera largo",2,Sexo,Mujer,28.89051328,Satisfacción y trato
No quiero responder,sat3_mot_c,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Tiempo de espera largo",96,Sexo,Mujer,0.84904818,Satisfacción y trato
No sé,sat3_mot_c,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Tiempo de espera largo",99,Sexo,Mujer,0.74353663,Satisfacción y trato
Sí,sat3_mot_c,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Tiempo de espera largo",1,Sexo,Hombre,69.21900023,Satisfacción y trato
No,sat3_mot_c,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Tiempo de espera largo",2,Sexo,Hombre,29.47585492,Satisfacción y trato
No quiero responder,sat3_mot_c,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Tiempo de espera largo",96,Sexo,Hombre,0.79927591,Satisfacción y trato
No sé,sat3_mot_c,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Tiempo de espera largo",99,Sexo,Hombre,0.50586895,Satisfacción y trato
Sí,sat3_mot_d,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal servicio en farmacia",1,Sexo,Mujer,25.19671462,Satisfacción y trato
No,sat3_mot_d,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal servicio en farmacia",2,Sexo,Mujer,69.6002099,Satisfacción y trato
No quiero responder,sat3_mot_d,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal servicio en farmacia",96,Sexo,Mujer,2.34317279,Satisfacción y trato
No sé,sat3_mot_d,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal servicio en farmacia",99,Sexo,Mujer,2.85990269,Satisfacción y trato
Sí,sat3_mot_d,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal servicio en farmacia",1,Sexo,Hombre,34.81658562,Satisfacción y trato
No,sat3_mot_d,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal servicio en farmacia",2,Sexo,Hombre,61.47049188,Satisfacción y trato
No quiero responder,sat3_mot_d,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal servicio en farmacia",96,Sexo,Hombre,1.71066174,Satisfacción y trato
No sé,sat3_mot_d,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mal servicio en farmacia",99,Sexo,Hombre,2.00226076,Satisfacción y trato
Sí,sat3_mot_e,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mala limpieza de las instalaciones",1,Sexo,Mujer,27.15511003,Satisfacción y trato
No,sat3_mot_e,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mala limpieza de las instalaciones",2,Sexo,Mujer,67.73252959,Satisfacción y trato
No quiero responder,sat3_mot_e,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mala limpieza de las instalaciones",96,Sexo,Mujer,1.66882755,Satisfacción y trato
No sé,sat3_mot_e,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mala limpieza de las instalaciones",99,Sexo,Mujer,3.44353284,Satisfacción y trato
Sí,sat3_mot_e,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mala limpieza de las instalaciones",1,Sexo,Hombre,27.7758518,Satisfacción y trato
No,sat3_mot_e,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mala limpieza de las instalaciones",2,Sexo,Hombre,67.55695384,Satisfacción y trato
No quiero responder,sat3_mot_e,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mala limpieza de las instalaciones",96,Sexo,Hombre,1.55504191,Satisfacción y trato
No sé,sat3_mot_e,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Mala limpieza de las instalaciones",99,Sexo,Hombre,3.11215245,Satisfacción y trato
Sí,sat3_mot_f,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de personal, médicos(as)/especialistas",1,Sexo,Mujer,65.77603843,Satisfacción y trato
No,sat3_mot_f,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de personal, médicos(as)/especialistas",2,Sexo,Mujer,28.84354655,Satisfacción y trato
No quiero responder,sat3_mot_f,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de personal, médicos(as)/especialistas",96,Sexo,Mujer,1.42316188,Satisfacción y trato
No sé,sat3_mot_f,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de personal, médicos(as)/especialistas",99,Sexo,Mujer,3.95725314,Satisfacción y trato
Sí,sat3_mot_f,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de personal, médicos(as)/especialistas",1,Sexo,Hombre,66.61928915,Satisfacción y trato
No,sat3_mot_f,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de personal, médicos(as)/especialistas",2,Sexo,Hombre,29.1154318,Satisfacción y trato
No quiero responder,sat3_mot_f,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de personal, médicos(as)/especialistas",96,Sexo,Hombre,0.8635776,Satisfacción y trato
No sé,sat3_mot_f,"¿Por qué motivo(s) está ni satisfecho ni insatisfecho, insatisfecho o muy insatisfecho? Falta de personal, médicos(as)/especialistas",99,Sexo,Hombre,3.40170145,Satisfacción y trato
Sí,corrupfarm,"¿Le condicionaron la entrega de medicamentos a cambio de regalos, favores o dinero?",1,Sexo,Mujer,0.27246823,Condicionamiento en la entrega de medicamentos
No,corrupfarm,"¿Le condicionaron la entrega de medicamentos a cambio de regalos, favores o dinero?",2,Sexo,Mujer,99.57165245,Condicionamiento en la entrega de medicamentos
No quiero responder,corrupfarm,"¿Le condicionaron la entrega de medicamentos a cambio de regalos, favores o dinero?",96,Sexo,Mujer,0.08251472,Condicionamiento en la entrega de medicamentos
No sé,corrupfarm,"¿Le condicionaron la entrega de medicamentos a cambio de regalos, favores o dinero?",99,Sexo,Mujer,0.07336461,Condicionamiento en la entrega de medicamentos
Sí,corrupfarm,"¿Le condicionaron la entrega de medicamentos a cambio de regalos, favores o dinero?",1,Sexo,Hombre,0.37740355,Condicionamiento en la entrega de medicamentos
No,corrupfarm,"¿Le condicionaron la entrega de medicamentos a cambio de regalos, favores o dinero?",2,Sexo,Hombre,99.53277476,Condicionamiento en la entrega de medicamentos
No quiero responder,corrupfarm,"¿Le condicionaron la entrega de medicamentos a cambio de regalos, favores o dinero?",96,Sexo,Hombre,0.0619954,Condicionamiento en la entrega de medicamentos
No sé,corrupfarm,"¿Le condicionaron la entrega de medicamentos a cambio de regalos, favores o dinero?",99,Sexo,Hombre,0.02782628,Condicionamiento en la entrega de medicamentos
Sí,cons_farm,"En los últimos 6 meses, ¿solicitó atención en una farmacia que cuente con consultorio médico privado por algún problema de salud?",1,Sexo,Mujer,43.96976513,Solicitud de atención médica en farmacias con consultorio privado
No,cons_farm,"En los últimos 6 meses, ¿solicitó atención en una farmacia que cuente con consultorio médico privado por algún problema de salud?",2,Sexo,Mujer,52.45956565,Solicitud de atención médica en farmacias con consultorio privado
No quiero responder,cons_farm,"En los últimos 6 meses, ¿solicitó atención en una farmacia que cuente con consultorio médico privado por algún problema de salud?",96,Sexo,Mujer,0.30686332,Solicitud de atención médica en farmacias con consultorio privado
No tuve un problema de salud,cons_farm,"En los últimos 6 meses, ¿solicitó atención en una farmacia que cuente con consultorio médico privado por algún problema de salud?",97,Sexo,Mujer,3.10582231,Solicitud de atención médica en farmacias con consultorio privado
No sé,cons_farm,"En los últimos 6 meses, ¿solicitó atención en una farmacia que cuente con consultorio médico privado por algún problema de salud?",99,Sexo,Mujer,0.1579836,Solicitud de atención médica en farmacias con consultorio privado
Sí,cons_farm,"En los últimos 6 meses, ¿solicitó atención en una farmacia que cuente con consultorio médico privado por algún problema de salud?",1,Sexo,Hombre,39.79448479,Solicitud de atención médica en farmacias con consultorio privado
No,cons_farm,"En los últimos 6 meses, ¿solicitó atención en una farmacia que cuente con consultorio médico privado por algún problema de salud?",2,Sexo,Hombre,57.60855737,Solicitud de atención médica en farmacias con consultorio privado
No quiero responder,cons_farm,"En los últimos 6 meses, ¿solicitó atención en una farmacia que cuente con consultorio médico privado por algún problema de salud?",96,Sexo,Hombre,0.19872854,Solicitud de atención médica en farmacias con consultorio privado
No tuve un problema de salud,cons_farm,"En los últimos 6 meses, ¿solicitó atención en una farmacia que cuente con consultorio médico privado por algún problema de salud?",97,Sexo,Hombre,2.36999374,Solicitud de atención médica en farmacias con consultorio privado
No sé,cons_farm,"En los últimos 6 meses, ¿solicitó atención en una farmacia que cuente con consultorio médico privado por algún problema de salud?",99,Sexo,Hombre,0.02823556,Solicitud de atención médica en farmacias con consultorio privado
1 a 2,covid_diagg2_x,¿Cuántos familiares en su hogar fallecieron por Covid-19 de noviembre de 2020 a la fecha?,1,Sexo,Mujer,82.70529928,Diagnóstico de Covid-19 de personas usuarias y familiares
3 a 4,covid_diagg2_x,¿Cuántos familiares en su hogar fallecieron por Covid-19 de noviembre de 2020 a la fecha?,2,Sexo,Mujer,6.98451881,Diagnóstico de Covid-19 de personas usuarias y familiares
más de 4,covid_diagg2_x,¿Cuántos familiares en su hogar fallecieron por Covid-19 de noviembre de 2020 a la fecha?,3,Sexo,Mujer,0.83569021,Diagnóstico de Covid-19 de personas usuarias y familiares
No quiero responder,covid_diagg2_x,¿Cuántos familiares en su hogar fallecieron por Covid-19 de noviembre de 2020 a la fecha?,96,Sexo,Mujer,3.9851822,Diagnóstico de Covid-19 de personas usuarias y familiares
Ninguno,covid_diagg2_x,¿Cuántos familiares en su hogar fallecieron por Covid-19 de noviembre de 2020 a la fecha?,97,Sexo,Mujer,2.27238055,Diagnóstico de Covid-19 de personas usuarias y familiares
No sé,covid_diagg2_x,¿Cuántos familiares en su hogar fallecieron por Covid-19 de noviembre de 2020 a la fecha?,99,Sexo,Mujer,3.21692896,Diagnóstico de Covid-19 de personas usuarias y familiares
1 a 2,covid_diagg2_x,¿Cuántos familiares en su hogar fallecieron por Covid-19 de noviembre de 2020 a la fecha?,1,Sexo,Hombre,82.24414282,Diagnóstico de Covid-19 de personas usuarias y familiares
3 a 4,covid_diagg2_x,¿Cuántos familiares en su hogar fallecieron por Covid-19 de noviembre de 2020 a la fecha?,2,Sexo,Hombre,7.59982099,Diagnóstico de Covid-19 de personas usuarias y familiares
más de 4,covid_diagg2_x,¿Cuántos familiares en su hogar fallecieron por Covid-19 de noviembre de 2020 a la fecha?,3,Sexo,Hombre,1.65064754,Diagnóstico de Covid-19 de personas usuarias y familiares
No quiero responder,covid_diagg2_x,¿Cuántos familiares en su hogar fallecieron por Covid-19 de noviembre de 2020 a la fecha?,96,Sexo,Hombre,4.69940946,Diagnóstico de Covid-19 de personas usuarias y familiares
Ninguno,covid_diagg2_x,¿Cuántos familiares en su hogar fallecieron por Covid-19 de noviembre de 2020 a la fecha?,97,Sexo,Hombre,2.36273268,Diagnóstico de Covid-19 de personas usuarias y familiares
No sé,covid_diagg2_x,¿Cuántos familiares en su hogar fallecieron por Covid-19 de noviembre de 2020 a la fecha?,99,Sexo,Hombre,1.44324651,Diagnóstico de Covid-19 de personas usuarias y familiares
1 a 2,covid_diagf3_n_x,¿Cúantos familiares fueron internados?,1,Sexo,Mujer,87.20265419,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
3 a 4,covid_diagf3_n_x,¿Cúantos familiares fueron internados?,2,Sexo,Mujer,8.75367681,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
más de 4,covid_diagf3_n_x,¿Cúantos familiares fueron internados?,3,Sexo,Mujer,1.3811833,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
No quiero responder,covid_diagf3_n_x,¿Cúantos familiares fueron internados?,96,Sexo,Mujer,1.01386283,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
Ninguno,covid_diagf3_n_x,¿Cúantos familiares fueron internados?,97,Sexo,Mujer,0,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
No sé,covid_diagf3_n_x,¿Cúantos familiares fueron internados?,99,Sexo,Mujer,1.64862287,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
1 a 2,covid_diagf3_n_x,¿Cúantos familiares fueron internados?,1,Sexo,Hombre,85.47257423,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
3 a 4,covid_diagf3_n_x,¿Cúantos familiares fueron internados?,2,Sexo,Hombre,8.14153722,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
más de 4,covid_diagf3_n_x,¿Cúantos familiares fueron internados?,3,Sexo,Hombre,2.3793192,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
No quiero responder,covid_diagf3_n_x,¿Cúantos familiares fueron internados?,96,Sexo,Hombre,2.19025825,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
Ninguno,covid_diagf3_n_x,¿Cúantos familiares fueron internados?,97,Sexo,Hombre,0.2414809,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
No sé,covid_diagf3_n_x,¿Cúantos familiares fueron internados?,99,Sexo,Hombre,1.5748302,Hospitalización por Covid-19 en el IMSS y en hospitales diferentes al IMSS
Muy satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",1,Órgano de Operación Administrativa Desconcentrado (OOAD),Aguascalientes,28.67829794,Satisfacción y trato
Satisfecho(a),sat3,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está con la atención que recibió en la unidad médica en su última visita durante la actual contingencia COVID?",2,Órgano de Operación Administrativa Desconcentrado (OOAD),Aguascalientes,37.92692279,Satisfacción y trato
